time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range
202752,819.28,5119,39,112.96424504000001,99,0.001498919063649211,0.5934644341468811,-0.8466362757118124,-0.006069687291624416,1862,0.9164462089538574,0.01243446,7.913178430968209,0.0898180509868421,0.25
204800,823.56,5119,40,111.82264301,100,0.001498919063649211,0.4919869303703308,-0.8497432231118804,-0.005626449689244558,1881,0.9912146925926208,0.010351193,1.2327319260098433,0.08819901315789473,0.25
206848,815.57,5117,40,111.27578254999999,101,0.001498919063649211,5.533084392547607,-0.7664214694186261,-0.0066572853668874716,1900,0.8379080891609192,0.0085086,29.77900630235672,0.09061472039473684,0.25
208896,815.57,5114,40,112.27075162000001,102,0.001498919063649211,3.2869346141815186,-0.8082500355024087,-0.00988402533020187,1919,0.8513748049736023,0.015382202,13.863012136597382,0.07190583881578948,0.25
210944,815.57,5115,41,111.62687104000001,103,0.001498919063649211,0.8147255182266235,-0.9252492063923886,-0.005079206768545862,1938,0.9340718984603882,0.02072902,8.24084323370143,0.06000719572368421,0.25
212992,815.57,5117,41,110.90620737,104,0.001498919063649211,2.2253925800323486,-0.8405823221332148,-0.006449515156227311,1957,0.9737933874130249,0.011149855,6.729670014820601,0.04677220394736842,0.25
215040,815.57,5119,42,111.7107623,105,0.001498919063649211,1.4066928625106812,-0.8816861929862123,-0.0090010827790186,1976,0.9751638770103455,0.012065406,10.21953147179202,0.07876747532894737,0.25
217088,815.57,5119,42,112.90734073999998,106,0.001498919063649211,0.35425233840942383,-0.8698066641625605,-0.007959119145341805,1995,0.98675137758255,0.018452793,2.280869115732218,0.17837685032894737,0.25
219136,815.57,5114,42,113.15525297,107,0.001498919063649211,0.6536512970924377,-0.7864346029727083,-0.0008671682827346223,2014,0.9826233386993408,0.010412397,2.3708372143538377,0.06406763980263158,0.25
221184,823.21,5117,43,114.43513061,108,0.001498919063649211,0.5507702827453613,-0.8833641935335962,-0.005467120279239393,2033,0.9900962114334106,0.03384341,1.513270662411263,0.0883532072368421,0.25
223232,823.21,5120,43,114.55491228000001,109,0.001498919063649211,0.15124264359474182,-0.8607197874470761,-0.01041214817240344,2052,0.9962512254714966,0.008000125,0.6323626083566954,0.04114412006578947,0.25
225280,830.94,5122,43,115.87404399,110,0.001498919063649211,0.2749233841896057,-0.8467027886133445,-0.005481996898245262,2071,0.9967001676559448,0.008734193,0.5695121778469336,0.035798725328947366,0.25
